text,sim_Morris,sim_SRD,delta
Stone steps lead down to hallowed burial chambers where holy,0.80347365,0.7604325,0.04304117
"The heart of The High Refuge Inn, where travelers gather aro",0.91046154,0.90291655,0.0075449944
A busy kitchen where hearty meals are prepared over an enorm,0.6980072,0.6718,0.026207209
Simple but clean rooms where weary travelers can rest. Narro,0.82926214,0.86177623,-0.032514095
Well-maintained stables where horses are fed and groomed. Th,0.79543793,0.7504933,0.044944644
"The main entrance to Skyreach Monastery, where visitors firs",0.80379057,0.8181054,-0.01431483
"The primary room of the building, where its main functions t",0.81464803,0.86051935,-0.045871317
"The heart of The Prancing Pony Inn, where travelers gather a",0.89340913,0.88148636,0.011922777
A busy kitchen where hearty meals are prepared over an enorm,0.6980072,0.6718,0.026207209
Simple but clean rooms where weary travelers can rest. Narro,0.82926214,0.86177623,-0.032514095
Well-maintained stables where horses are fed and groomed. Th,0.79543793,0.7504933,0.044944644
"Massive stone gatehouse of Elderbrook Royal Castle, where he",0.8328598,0.8588302,-0.0259704
The main courtyard bustles with activity - guards drilling w,0.78281254,0.8057903,-0.02297777
A magnificent hall with soaring stone arches and colorful ba,0.8393576,0.80640924,0.032948375
A formal chamber where justice is dispensed and audiences gr,0.8692044,0.8625939,0.0066105127
Spartan quarters where the castle guard sleeps and trains. W,0.82669485,0.8434628,-0.016767979
Dark stone chambers beneath the castle where prisoners await,0.88911283,0.86962,0.019492805
High stone battlements offer commanding views of the surroun,0.8548754,0.8518315,0.00304389
"The main entrance to Lighthouse of the Sea God, where visito",0.8438556,0.86152846,-0.017672837
"The primary room of the building, where its main functions t",0.81464803,0.86051935,-0.045871317
"The heart of The Silver Swan Inn, where travelers gather aro",0.9058989,0.8935034,0.012395501
A busy kitchen where hearty meals are prepared over an enorm,0.6980072,0.6718,0.026207209
Simple but clean rooms where weary travelers can rest. Narro,0.82926214,0.86177623,-0.032514095
Well-maintained stables where horses are fed and groomed. Th,0.79543793,0.7504933,0.044944644
"Massive stone gatehouse of Sky Bridge Fortress, where heavy ",0.83426994,0.87376034,-0.0394904
The main courtyard bustles with activity - guards drilling w,0.78281254,0.8057903,-0.02297777
A magnificent hall with soaring stone arches and colorful ba,0.8393576,0.80640924,0.032948375
A formal chamber where justice is dispensed and audiences gr,0.8692044,0.8625939,0.0066105127
Spartan quarters where the castle guard sleeps and trains. W,0.82669485,0.8434628,-0.016767979
Dark stone chambers beneath the castle where prisoners await,0.88911283,0.86962,0.019492805
High stone battlements offer commanding views of the surroun,0.8548754,0.8518315,0.00304389
"The blessed threshold of Temple of the Eternal Sun, where pi",0.75134265,0.756356,-0.0050133467
A soaring space filled with colored light from stained glass,0.75482756,0.775813,-0.020985425
"The holiest place within the structure, where divine ceremon",0.7616236,0.75027585,0.011347771
Stone steps lead down to hallowed burial chambers where holy,0.80347365,0.7604325,0.04304117
"The main meeting hall of The Shadows Den, where guild member",0.7488196,0.71407604,0.034743547
Where the guild's finest craftsmen demonstrate their skills ,0.78263223,0.8102387,-0.027606487
Administrative chambers where guild business is conducted. L,0.65782934,0.67590415,-0.01807481
"The base of Signal Watchtower, where a heavy oak door leads ",0.82047147,0.883918,-0.06344652
A narrow stone staircase winds upward through the tower's co,0.8411447,0.8946097,-0.05346501
"A circular room filled with arcane apparatus - crystal orbs,",0.80314773,0.87112087,-0.06797314
"The highest point of the tower, open to the sky and winds. F",0.86569667,0.9281499,-0.06245321
"The heart of The Weary Traveler Lodge, where travelers gathe",0.9003922,0.89076024,0.009631932
A busy kitchen where hearty meals are prepared over an enorm,0.6980072,0.6718,0.026207209
Simple but clean rooms where weary travelers can rest. Narro,0.82926214,0.86177623,-0.032514095
Well-maintained stables where horses are fed and groomed. Th,0.79543793,0.7504933,0.044944644
"The base of Azure Wizards Tower, where a heavy oak door lead",0.8067306,0.86943614,-0.06270552
A narrow stone staircase winds upward through the tower's co,0.8411447,0.8946097,-0.05346501
"A circular room filled with arcane apparatus - crystal orbs,",0.80314773,0.87112087,-0.06797314
"The highest point of the tower, open to the sky and winds. F",0.86569667,0.9281499,-0.06245321
"The entrance to the crafters' district, marked by guild symb",0.8055726,0.86025345,-0.054680824
A street lined with the workshops of master craftsmen. The a,0.81918204,0.81664115,0.0025408864
Massive forges where the most skilled smiths create works of,0.7756665,0.84879005,-0.073123574
Where the finished works of the district's artisans are disp,0.76951826,0.7873095,-0.017791271
An ornate gateway that marks the entrance to the nobles' dis,0.78916633,0.7679625,0.021203816
A wide street lined with elegant mansions and manicured gard,0.80444324,0.7357042,0.06873906
Impressive multi-story homes where the wealthy and powerful ,0.8039565,0.79261506,0.011341453
Beautifully landscaped gardens where nobles take their leisu,0.8028373,0.82323104,-0.02039373
An elegant square where the wealthy gather for social events,0.79349303,0.7939845,-0.0004914403
"The gateway into Mad Alchemists Laboratory, where daylight g",0.8616091,0.914341,-0.05273187
A long corridor that delves deeper into the earth. The walls,0.8375246,0.8643311,-0.026806533
"A large room carved from the living rock, its purpose lost t",0.9407815,0.91690487,0.023876607
"The sealed entrance to The Ancient Catacombs, where ancient ",0.8771498,0.8679944,0.009155393
Long passages lined with burial niches where the ancient dea,0.7934185,0.7687465,0.024672031
"The heart of the tomb, where the most important dead were in",0.8134863,0.7714436,0.042042673
"The oldest and most sacred part of the burial complex, where",0.8641877,0.8709905,-0.0068027973
The mouth of Buried Ancient Library yawns before you like a ,0.87296224,0.8837398,-0.010777593
A vast underground space where your torchlight barely reache,0.836962,0.87167513,-0.03471315
A tight corridor where you must duck low and turn sideways i,0.9202813,0.9306808,-0.01039952
A dark pool of unknown depth reflects your torchlight like a,0.9115403,0.9179765,-0.006436169
"Far from the surface, this cavern exists in eternal darkness",0.88490355,0.9292448,-0.044341266
"The gateway into Arcane Prison, where daylight gives way to ",0.86925274,0.916134,-0.04688126
A long corridor that delves deeper into the earth. The walls,0.8375246,0.8643311,-0.026806533
"A large room carved from the living rock, its purpose lost t",0.9407815,0.91690487,0.023876607
The mouth of Bat Colony Caves yawns before you like a great ,0.85412216,0.86616725,-0.012045085
A vast underground space where your torchlight barely reache,0.836962,0.87167513,-0.03471315
A tight corridor where you must duck low and turn sideways i,0.9202813,0.9306808,-0.01039952
A dark pool of unknown depth reflects your torchlight like a,0.9115403,0.9179765,-0.006436169
"Far from the surface, this cavern exists in eternal darkness",0.88490355,0.9292448,-0.044341266
The mouth of Bone Caves yawns before you like a great maw. C,0.84530836,0.86690766,-0.021599293
A vast underground space where your torchlight barely reache,0.836962,0.87167513,-0.03471315
A tight corridor where you must duck low and turn sideways i,0.9202813,0.9306808,-0.01039952
A dark pool of unknown depth reflects your torchlight like a,0.9115403,0.9179765,-0.006436169
"Far from the surface, this cavern exists in eternal darkness",0.88490355,0.9292448,-0.044341266
The mouth of The Crystal Caves yawns before you like a great,0.8444128,0.8643343,-0.019921482
A vast underground space where your torchlight barely reache,0.836962,0.87167513,-0.03471315
A tight corridor where you must duck low and turn sideways i,0.9202813,0.9306808,-0.01039952
A dark pool of unknown depth reflects your torchlight like a,0.9115403,0.9179765,-0.006436169
"Far from the surface, this cavern exists in eternal darkness",0.88490355,0.9292448,-0.044341266
"The gateway into Crystal Dragon Lair, where daylight gives w",0.87283957,0.924653,-0.051813424
A long corridor that delves deeper into the earth. The walls,0.8375246,0.8643311,-0.026806533
"A large room carved from the living rock, its purpose lost t",0.9407815,0.91690487,0.023876607
"The gateway into Cult Sanctum, where daylight gives way to t",0.8527008,0.9063574,-0.053656578
A long corridor that delves deeper into the earth. The walls,0.8375246,0.8643311,-0.026806533
"A large room carved from the living rock, its purpose lost t",0.9407815,0.91690487,0.023876607
"The mouth of Abandoned Dwarven Mines, where wooden supports ",0.812819,0.8708125,-0.05799347
A network of tunnels carved by generations of miners seeking,0.79946184,0.8260542,-0.026592374
"The deepest part of the mine, where the most valuable ore wa",0.8111912,0.8388593,-0.027668118
A large excavated space where ore was sorted and processed. ,0.7949236,0.8270682,-0.032144606
"The gateway into The Echo Chambers, where daylight gives way",0.876433,0.9263563,-0.0499233
A long corridor that delves deeper into the earth. The walls,0.8375246,0.8643311,-0.026806533
"A large room carved from the living rock, its purpose lost t",0.9407815,0.91690487,0.023876607
The mouth of Sentient Fungal Network yawns before you like a,0.83606505,0.8707461,-0.034681022
A long corridor that delves deeper into the earth. The walls,0.8375246,0.8643311,-0.026806533
A vast underground space where your torchlight barely reache,0.836962,0.87167513,-0.03471315
A tight corridor where you must duck low and turn sideways i,0.9202813,0.9306808,-0.01039952
A dark pool of unknown depth reflects your torchlight like a,0.9115403,0.9179765,-0.006436169
"Far from the surface, this cavern exists in eternal darkness",0.88490355,0.9292448,-0.044341266
The mouth of Abandoned Gem Mines yawns before you like a gre,0.8587597,0.87423056,-0.015470862
A vast underground space where your torchlight barely reache,0.836962,0.87167513,-0.03471315
A tight corridor where you must duck low and turn sideways i,0.9202813,0.9306808,-0.01039952
A dark pool of unknown depth reflects your torchlight like a,0.9115403,0.9179765,-0.006436169
"Far from the surface, this cavern exists in eternal darkness",0.88490355,0.9292448,-0.044341266
"The gateway into Ancient Golem Workshop, where daylight give",0.866741,0.9191605,-0.052419484
A long corridor that delves deeper into the earth. The walls,0.8375246,0.8643311,-0.026806533
"A large room carved from the living rock, its purpose lost t",0.9407815,0.91690487,0.023876607
The mouth of Healing Spring Caves yawns before you like a gr,0.85264385,0.8647327,-0.012088835
A vast underground space where your torchlight barely reache,0.836962,0.87167513,-0.03471315
A tight corridor where you must duck low and turn sideways i,0.9202813,0.9306808,-0.01039952
A dark pool of unknown depth reflects your torchlight like a,0.9115403,0.9179765,-0.006436169
"Far from the surface, this cavern exists in eternal darkness",0.88490355,0.9292448,-0.044341266
The mouth of Eternal Ice Caves yawns before you like a great,0.84309083,0.8603444,-0.017253578
A vast underground space where your torchlight barely reache,0.836962,0.87167513,-0.03471315
A tight corridor where you must duck low and turn sideways i,0.9202813,0.9306808,-0.01039952
A dark pool of unknown depth reflects your torchlight like a,0.9115403,0.9179765,-0.006436169
"Far from the surface, this cavern exists in eternal darkness",0.88490355,0.9292448,-0.044341266
"The gateway into Ancient Lava Tubes, where daylight gives wa",0.85556334,0.9171698,-0.061606467
A long corridor that delves deeper into the earth. The walls,0.8375246,0.8643311,-0.026806533
"A large room carved from the living rock, its purpose lost t",0.9407815,0.91690487,0.023876607
"The gateway into Lich Phylactery Chamber, where daylight giv",0.8715997,0.927451,-0.05585134
"A large room carved from the living rock, its purpose lost t",0.9407815,0.91690487,0.023876607
The mouth of The Labyrinthine Caves yawns before you like a ,0.8290832,0.8493924,-0.02030921
A vast underground space where your torchlight barely reache,0.836962,0.87167513,-0.03471315
A tight corridor where you must duck low and turn sideways i,0.9202813,0.9306808,-0.01039952
A dark pool of unknown depth reflects your torchlight like a,0.9115403,0.9179765,-0.006436169
"Far from the surface, this cavern exists in eternal darkness",0.88490355,0.9292448,-0.044341266
The mouth of Hall of Mirrors Cave yawns before you like a gr,0.86586,0.88297105,-0.017111063
A vast underground space where your torchlight barely reache,0.836962,0.87167513,-0.03471315
A tight corridor where you must duck low and turn sideways i,0.9202813,0.9306808,-0.01039952
A dark pool of unknown depth reflects your torchlight like a,0.9115403,0.9179765,-0.006436169
"Far from the surface, this cavern exists in eternal darkness",0.88490355,0.9292448,-0.044341266
The mouth of Giant Mushroom Grotto yawns before you like a g,0.8436111,0.8620524,-0.01844126
A vast underground space where your torchlight barely reache,0.836962,0.87167513,-0.03471315
A tight corridor where you must duck low and turn sideways i,0.9202813,0.9306808,-0.01039952
A dark pool of unknown depth reflects your torchlight like a,0.9115403,0.9179765,-0.006436169
"Far from the surface, this cavern exists in eternal darkness",0.88490355,0.9292448,-0.044341266
"The sealed entrance to Necromancers Tomb Complex, where anci",0.88087606,0.8814993,-0.00062322617
Long passages lined with burial niches where the ancient dea,0.7934185,0.7687465,0.024672031
"The heart of the tomb, where the most important dead were in",0.8134863,0.7714436,0.042042673
"The oldest and most sacred part of the burial complex, where",0.8641877,0.8709905,-0.0068027973
"The gateway into Interdimensional Portal Nexus, where daylig",0.8202619,0.89690614,-0.07664424
A long corridor that delves deeper into the earth. The walls,0.8375246,0.8643311,-0.026806533
"A large room carved from the living rock, its purpose lost t",0.9407815,0.91690487,0.023876607
"The gateway into The Forgotten Prison, where daylight gives ",0.88436306,0.9169624,-0.03259933
A long corridor that delves deeper into the earth. The walls,0.8375246,0.8643311,-0.026806533
"A large room carved from the living rock, its purpose lost t",0.9407815,0.91690487,0.023876607
"A heavy grate provides access to Ancient Sewer System, where",0.8206636,0.8711988,-0.050535202
"The primary flow of the sewer system, where dark water carri",0.83952236,0.8940938,-0.05457145
Where multiple channels converge in a large underground cham,0.84318215,0.89586616,-0.05268401
"The gateway into Shadow Realm Portal Caves, where daylight g",0.8541582,0.9076417,-0.053483486
A long corridor that delves deeper into the earth. The walls,0.8375246,0.8643311,-0.026806533
"A large room carved from the living rock, its purpose lost t",0.9407815,0.91690487,0.023876607
"The gateway into Smugglers Tunnel Network, where daylight gi",0.84876835,0.90684074,-0.05807239
A long corridor that delves deeper into the earth. The walls,0.8375246,0.8643311,-0.026806533
"A large room carved from the living rock, its purpose lost t",0.9407815,0.91690487,0.023876607
The mouth of Spider Silk Caves yawns before you like a great,0.8427943,0.85860395,-0.015809655
A vast underground space where your torchlight barely reache,0.836962,0.87167513,-0.03471315
A tight corridor where you must duck low and turn sideways i,0.9202813,0.9306808,-0.01039952
A dark pool of unknown depth reflects your torchlight like a,0.9115403,0.9179765,-0.006436169
"Far from the surface, this cavern exists in eternal darkness",0.88490355,0.9292448,-0.044341266
"The gateway into Sunken City of Maraleth, where daylight giv",0.88100064,0.926212,-0.045211375
A long corridor that delves deeper into the earth. The walls,0.8375246,0.8643311,-0.026806533
"A large room carved from the living rock, its purpose lost t",0.9407815,0.91690487,0.023876607
The mouth of Time Distortion Caves yawns before you like a g,0.8509642,0.8734,-0.022435784
A vast underground space where your torchlight barely reache,0.836962,0.87167513,-0.03471315
A tight corridor where you must duck low and turn sideways i,0.9202813,0.9306808,-0.01039952
A dark pool of unknown depth reflects your torchlight like a,0.9115403,0.9179765,-0.006436169
"Far from the surface, this cavern exists in eternal darkness",0.88490355,0.9292448,-0.044341266
"The gateway into Royal Treasure Vault, where daylight gives ",0.8746025,0.91736174,-0.04275924
A long corridor that delves deeper into the earth. The walls,0.8375246,0.8643311,-0.026806533
"A large room carved from the living rock, its purpose lost t",0.9407815,0.91690487,0.023876607
The mouth of Troll Caves yawns before you like a great maw. ,0.8347735,0.8516635,-0.01688999
A vast underground space where your torchlight barely reache,0.836962,0.87167513,-0.03471315
A tight corridor where you must duck low and turn sideways i,0.9202813,0.9306808,-0.01039952
A dark pool of unknown depth reflects your torchlight like a,0.9115403,0.9179765,-0.006436169
"Far from the surface, this cavern exists in eternal darkness",0.88490355,0.9292448,-0.044341266
The mouth of Underground River System yawns before you like ,0.8490417,0.87736845,-0.02832675
A vast underground space where your torchlight barely reache,0.836962,0.87167513,-0.03471315
A tight corridor where you must duck low and turn sideways i,0.9202813,0.9306808,-0.01039952
A dark pool of unknown depth reflects your torchlight like a,0.9115403,0.9179765,-0.006436169
"Far from the surface, this cavern exists in eternal darkness",0.88490355,0.9292448,-0.044341266
"The gateway into Temple of the Deep Gods, where daylight giv",0.88543004,0.9240125,-0.038582444
A long corridor that delves deeper into the earth. The walls,0.8375246,0.8643311,-0.026806533
"A large room carved from the living rock, its purpose lost t",0.9407815,0.91690487,0.023876607
"The gateway into Ancient War Bunkers, where daylight gives w",0.8749577,0.91562855,-0.04067087
A long corridor that delves deeper into the earth. The walls,0.8375246,0.8643311,-0.026806533
"A large room carved from the living rock, its purpose lost t",0.9407815,0.91690487,0.023876607
The mouth of The Howling Wind Caves yawns before you like a ,0.8277749,0.8407683,-0.012993395
A vast underground space where your torchlight barely reache,0.836962,0.87167513,-0.03471315
A tight corridor where you must duck low and turn sideways i,0.9202813,0.9306808,-0.01039952
A dark pool of unknown depth reflects your torchlight like a,0.9115403,0.9179765,-0.006436169
"Far from the surface, this cavern exists in eternal darkness",0.88490355,0.9292448,-0.044341266
"The bustling heart of Millhaven Town Square, where merchants",0.812698,0.7653288,0.047369182
Colorful stalls and permanent shops line these busy streets.,0.8333497,0.8224299,0.010919809
An impressive stone building where the town council meets an,0.8557687,0.8350162,0.02075249
Here the various trade guilds have established their halls -,0.7778449,0.7694622,0.008382678
Massive wooden gates reinforced with iron bands mark the ent,0.87476367,0.8824977,-0.0077340603
Neat rows of two and three-story houses where the town's cit,0.9222393,0.89430356,0.027935743
"The heart of Elderbrook Village Center, where cobblestone pa",0.92586786,0.8881943,0.037673533
A cozy two-story inn with low oak beams and a crackling fire,0.7883313,0.7432523,0.045078993
The rhythmic clanging of hammer on anvil echoes from this st,0.7417847,0.7718581,-0.030073404
A peaceful expanse of grass where sheep graze and village fe,0.83493364,0.79753196,0.037401676
The edge of the village where cultivated fields give way to ,0.8902288,0.87545127,0.014777541
"The heart of Hilltop Village, where cobblestone paths conver",0.92037225,0.8785739,0.041798353
A cozy two-story inn with low oak beams and a crackling fire,0.7883313,0.7432523,0.045078993
The rhythmic clanging of hammer on anvil echoes from this st,0.7417847,0.7718581,-0.030073404
A peaceful expanse of grass where sheep graze and village fe,0.83493364,0.79753196,0.037401676
The edge of the village where cultivated fields give way to ,0.8902288,0.87545127,0.014777541
"The border of Blackthorn Battlefield, where open grasslands ",0.7612777,0.7532332,0.008044481
Vast grasslands where wildflowers dot the landscape and the ,0.8294244,0.8279801,0.0014442801
Gentle rises in the landscape that break the monotony of the,0.8714503,0.8711114,0.000338912
"The outer reaches of Ancient Battleground Forest, where civi",0.82053995,0.84188765,-0.021347702
"Deep within the wilderness, far from any settlement or road.",0.8475249,0.86498785,-0.017462969
"The outer reaches of Avalanche Slopes, where civilization gi",0.8203774,0.8463431,-0.02596569
"Deep within the wilderness, far from any settlement or road.",0.8475249,0.86498785,-0.017462969
"The outer reaches of Bandit Wood, where civilization gives w",0.84259313,0.8614723,-0.018879175
"Deep within the wilderness, far from any settlement or road.",0.8475249,0.86498785,-0.017462969
"The outer reaches of The Blasted Heath, where civilization g",0.82977474,0.8452898,-0.015515089
"Deep within the wilderness, far from any settlement or road.",0.8475249,0.86498785,-0.017462969
"The outer reaches of Valley of Bones, where civilization giv",0.8374448,0.85555136,-0.01810658
